Entity1_id	Entity1_name	Entity1_type	Entity2_id	Entity2_name	Entity2_type	Evidence	Association	PK	PD	PMIDs
PA448492	PA448492	Drug	PA134956204	PA134956204	Gene	VariantAnnotation	associated		PD	15713801
PA448492	PA448492	Drug	PA34068	PA34068	Gene	VariantAnnotation	associated		PD	23007406
PA448492	PA448492	Drug	PA359	PA359	Gene	VariantAnnotation	associated		PD	15713801
PA448492	PA448492	Drug	rs34743033	rs34743033	VariantLocation	VariantAnnotation	associated		PD	15713801
PA448492	PA448492	Drug	rs4958381	rs4958381	VariantLocation	VariantAnnotation	associated		PD	20592726
PA448492	PA448492	Drug	rs7142143	rs7142143	VariantLocation	VariantAnnotation	associated		PD	23007406
PA26348	PA26348	Gene	PA445738	PA445738	Disease	VariantAnnotation	associated		PD	21912425
PA26348	PA26348	Gene	PA448320	PA448320	Drug	VariantAnnotation	associated		PD	21912425
PA450428	PA450428	Drug	PA116	PA116	Gene	Pathway,VariantAnnotation	ambiguous	PK	PD	18381794;21317831;23069858
PA450428	PA450428	Drug	PA134865839	solute carrier organic anion transporter family, member 1B1	Gene	ClinicalAnnotation,Pathway,VIP,VariantAnnotation	associated	PK	PD	11477075;19901119;21317831;22846425;23233662
PA450428	PA450428	Drug	PA134897613	PA134897613	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	16130010;16501586;17410198;18322994;22450926
PA450428	PA450428	Drug	PA134943193	PA134943193	Gene	ClinicalAnnotation,VariantAnnotation	associated	PK		19684603
PA450428	PA450428	Drug	PA134956204	PA134956204	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	11937185;12651279;12972956;14522928;14647408;15457444;15713801;15797993;16130010;17203168;17323057;17410198;18322994;18368069;19159907;19902562;20386493;21262916;22450926;22838948
PA450428	PA450428	Drug	PA142671588	PA142671588	Gene	VariantAnnotation	associated		PD	21826087
PA450428	PA450428	Drug	PA142672417	PA142672417	Gene	VariantAnnotation	not associated		PD	21931346
PA450428	PA450428	Drug	PA143	PA143	Gene	ClinicalAnnotation,VariantAnnotation	ambiguous		PD	18322994;19648163;19861437;19902562;21747412;22450926
PA450428	PA450428	Drug	PA145	PA145	Gene	VariantAnnotation	associated		PD	14635116
PA450428	PA450428	Drug	PA145148868	PA145148868	Gene	VariantAnnotation	ambiguous		PD	15797993;16013960;18368069;20386493
PA450428	PA450428	Drug	PA162396840	PA162396840	Gene	ClinicalAnnotation,VariantAnnotation	associated	PK		19176441
